,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,,,,,,,,,,,,,,,,,,,,,,
Baker ,"16,765","16,510","16,425","16,325","16,280","16,210","16,215","16,440","16,450","16,455",,,,,,,,,,,,,,,,,,,,,,
Benton ,"93,590","91,320","90,005","88,740","87,725","86,785","85,995","87,000","86,725","86,120",,,,,,,,,,,,,,,,,,,,,,
Clackamas ,"419,425","404,980","397,385","391,525","386,080","381,680","378,480","381,775","379,845","376,660",,,,,,,,,,,,,,,,,,,,,,
Clatsop ,"39,200","38,225","37,750","37,495","37,270","37,190","37,145","37,860","37,840","37,695",,,,,,,,,,,,,,,,,,,,,,
Columbia,"51,900","50,795","50,390","50,075","49,850","49,680","49,625","48,620","48,410","48,095",,,,,,,,,,,,,,,,,,,,,,
Coos,"63,275","63,190","62,990","62,900","62,860","62,890","62,960","62,930","63,065","63,210",,,,,,,,,,,,,,,,,,,,,,
Crook ,"22,710","21,580","21,085","20,780","20,690","20,650","20,855","27,280","27,185","26,845",,,,,,,,,,,,,,,,,,,,,,
Curry ,"22,915","22,600","22,470","22,355","22,300","22,295","22,335","21,160","21,340","21,510",,,,,,,,,,,,,,,,,,,,,,
Deschutes ,"188,980","176,635","170,740","166,400","162,525","160,140","158,875","172,050","170,705","167,015",,,,,,,,,,,,,,,,,,,,,,
Douglas ,"111,735","110,395","109,910","109,385","108,850","108,195","107,795","105,240","105,395","105,240",,,,,,,,,,,,,,,,,,,,,,
Gilliam ,"1,985","1,980","1,975","1,975","1,945","1,900","1,880","1,885","1,885","1,885",,,,,,,,,,,,,,,,,,,,,,
Grant ,"7,400","7,410","7,430","7,425","7,435","7,450","7,450","7,510","7,525","7,530",,,,,,,,,,,,,,,,,,,,,,
Harney ,"7,380","7,320","7,295","7,265","7,260","7,315","7,375","7,720","7,715","7,705",,,,,,,,,,,,,,,,,,,,,,
Hood River ,"25,310","24,735","24,245","23,730","23,295","22,875","22,625","21,850","21,725","21,625",,,,,,,,,,,,,,,,,,,,,,
Jackson ,"219,200","213,765","210,975","208,375","206,310","204,630","203,950","207,745","207,010","205,305",,,,,,,,,,,,,,,,,,,,,,
Jefferson ,"23,560","22,790","22,445","22,205","22,040","21,940","21,845","22,865","22,715","22,450",,,,,,,,,,,,,,,,,,,,,,
Josephine ,"86,395","84,675","83,720","83,105","82,815","82,775","82,820","83,600","83,665","83,290",,,,,,,,,,,,,,,,,,,,,,
Klamath ,"67,960","67,410","67,110","66,910","66,810","66,740","66,580","66,475","66,350","66,180",,,,,,,,,,,,,,,,,,,,,,
Lake ,"8,115","8,015","8,010","7,990","7,940","7,920","7,885","7,570","7,600","7,585",,,,,,,,,,,,,,,,,,,,,,
Lane ,"375,120","365,940","362,150","358,805","356,125","354,200","353,155","348,550","347,690","345,880",,,,,,,,,,,,,,,,,,,,,,
Lincoln ,"48,210","47,735","47,225","46,890","46,560","46,295","46,155","44,620","44,700","44,715",,,,,,,,,,,,,,,,,,,,,,
Linn ,"125,575","122,315","120,860","119,705","118,665","118,035","117,340","111,355","110,865","110,185",,,,,,,,,,,,,,,,,,,,,,
Malheur ,"31,925","31,705","31,480","31,470","31,440","31,395","31,445","31,865","31,720","31,675",,,,,,,,,,,,,,,,,,,,,,
Marion ,"344,035","333,950","329,770","326,150","322,880","320,495","318,150","320,640","318,170","314,865",,,,,,,,,,,,,,,,,,,,,,
Morrow ,"11,885","11,745","11,630","11,525","11,425","11,300","11,270","12,595","12,540","12,485",,,,,,,,,,,,,,,,,,,,,,
Multnomah ,"813,300","790,670","777,490","765,775","756,530","748,445","741,925","730,140","724,680","717,880",,,,,,,,,,,,,,,,,,,,,,
Polk ,"82,100","79,730","78,570","77,735","77,065","76,625","75,965","69,145","68,785","68,235",,,,,,,,,,,,,,,,,,,,,,
Sherman ,"1,785","1,795","1,790","1,785","1,780","1,765","1,765","1,825","1,830","1,845",,,,,,,,,,,,,,,,,,,,,,
Tillamook ,"26,395","25,920","25,690","25,480","25,375","25,305","25,255","26,170","26,130","26,060",,,,,,,,,,,,,,,,,,,,,,
Umatilla ,"80,765","79,880","79,155","78,340","77,895","77,120","76,580","72,720","72,430","72,380",,,,,,,,,,,,,,,,,,,,,,
Union ,"26,885","26,745","26,625","26,485","26,325","26,175","25,980","25,495","25,470","25,360",,,,,,,,,,,,,,,,,,,,,,
Wallowa ,"7,175","7,140","7,100","7,070","7,045","7,015","6,995","7,085","7,100","7,115",,,,,,,,,,,,,,,,,,,,,,
